LayDay,zscore_SAM,center_year,penguinseq
280,-2.1590982006674064,-14,1162
281,-2.1590982006674064,-14,849
288,-2.1590982006674064,-14,1984
280,-2.1590982006674064,-14,1756
278,-2.1590982006674064,-14,1986
286,-2.1590982006674064,-14,850
283,-2.1590982006674064,-14,1493
284,-2.1590982006674064,-14,1177
283,-2.1590982006674064,-14,1058
281,-2.1590982006674064,-14,1904
283,-2.1590982006674064,-14,1905
286,-2.1590982006674064,-14,1192
283,-2.1590982006674064,-14,1518
282,-2.1590982006674064,-14,1499
288,-2.1590982006674064,-14,1266
286,-2.1590982006674064,-14,1482
279,-2.1590982006674064,-14,1994
285,-2.1590982006674064,-14,1521
286,-2.1590982006674064,-14,1195
286,-2.1590982006674064,-14,2024
283,-2.1590982006674064,-14,1906
288,-2.1590982006674064,-14,1997
280,-2.1590982006674064,-14,1571
284,-2.1590982006674064,-14,1925
286,-2.1590982006674064,-14,1894
280,-2.1590982006674064,-14,1907
281,-2.1590982006674064,-14,2005
288,-2.1590982006674064,-14,1503
288,-2.1590982006674064,-14,2069
280,-2.1590982006674064,-14,1199
288,-2.1590982006674064,-14,1504
283,-2.1590982006674064,-14,1910
282,-2.1590982006674064,-14,1930
283,-2.1590982006674064,-14,1203
283,-2.1590982006674064,-14,1022
289,-2.1590982006674064,-14,2016
287,-2.1590982006674064,-14,2365
283,-2.1590982006674064,-14,1911
281,-2.1590982006674064,-14,1830
313,-2.1590982006674064,-14,2372
283,-2.1590982006674064,-14,1432
285,-2.1590982006674064,-14,920
284,-2.1590982006674064,-14,1924
282,-2.1590982006674064,-14,1732
284,-2.1590982006674064,-14,1512
285,-2.1590982006674064,-14,1416
290,-2.1590982006674064,-14,1055
286,-2.1590982006674064,-14,1896
278,-2.1590982006674064,-14,972
280,-2.1590982006674064,-14,1927
288,-2.1590982006674064,-14,1264
287,-2.1590982006674064,-14,36335
283,-2.1590982006674064,-14,1222
290,-2.1590982006674064,-14,2134
280,-2.1590982006674064,-14,1079
286,-2.1590982006674064,-14,1988
283,-2.1590982006674064,-14,1059
292,-2.1590982006674064,-14,2061
285,-2.1590982006674064,-14,1475
288,-2.1590982006674064,-14,1026
278,-2.1590982006674064,-14,1247
284,-2.1590982006674064,-14,1761
279,-2.1590982006674064,-14,1754
287,-2.1590982006674064,-14,1436
284,-2.1590982006674064,-14,1070
286,-2.1590982006674064,-14,1359
287,-2.1590982006674064,-14,1437
285,-2.1590982006674064,-14,1734
291,-2.1590982006674064,-14,2132
283,-2.1590982006674064,-14,1987
284,-2.1590982006674064,-14,1735
288,-2.1590982006674064,-14,1061
292,-2.1590982006674064,-14,2076
284,-2.1590982006674064,-14,1760
283,-2.1590982006674064,-14,1204
281,-2.1590982006674064,-14,2078
282,-2.1590982006674064,-14,1759
285,-2.1590982006674064,-14,1898
281,-2.1590982006674064,-14,1411
279,-2.1590982006674064,-14,1753
283,-2.1590982006674064,-14,1038
283,-2.1590982006674064,-14,1517
284,-2.1590982006674064,-14,1221
282,-2.1590982006674064,-14,1498
284,-2.1590982006674064,-14,1460
279,-2.1590982006674064,-14,2140
292,-2.1590982006674064,-14,1265
283,-2.1590982006674064,-14,1748
285,-2.1590982006674064,-14,1899
287,-2.1590982006674064,-14,1505
282,-2.1590982006674064,-14,1361
283,-2.1590982006674064,-14,1420
286,-2.1590982006674064,-14,2174
287,-2.1590982006674064,-14,2481
284,-2.1590982006674064,-14,2063
290,-2.1590982006674064,-14,2137
285,-2.1590982006674064,-14,1501
280,-2.1590982006674064,-14,1379
288,1.7432207485073794,-13,8117
283,1.7432207485073794,-13,7835
288,1.7432207485073794,-13,1059
294,1.7432207485073794,-13,2464
282,1.7432207485073794,-13,1015
289,1.7432207485073794,-13,8160
288,1.7432207485073794,-13,8162
287,1.7432207485073794,-13,2005
286,1.7432207485073794,-13,850
275,1.7432207485073794,-13,1247
287,1.7432207485073794,-13,1927
281,1.7432207485073794,-13,7937
296,1.7432207485073794,-13,1265
288,1.7432207485073794,-13,2076
284,1.7432207485073794,-13,2709
284,1.7432207485073794,-13,1070
294,1.7432207485073794,-13,1266
288,1.7432207485073794,-13,8163
288,1.7432207485073794,-13,882
282,1.7432207485073794,-13,1061
282,1.7432207485073794,-13,2713
282,1.7432207485073794,-13,2664
291,1.7432207485073794,-13,2132
285,1.7432207485073794,-13,1482
281,1.7432207485073794,-13,2078
285,1.7432207485073794,-13,1359
292,1.7432207485073794,-13,2409
290,1.7432207485073794,-13,8370
284,1.7432207485073794,-13,1195
287,1.7432207485073794,-13,1416
296,1.7432207485073794,-13,1076
281,1.7432207485073794,-13,2704
288,1.7432207485073794,-13,1472
290,1.7432207485073794,-13,8371
284,1.7432207485073794,-13,2137
286,1.7432207485073794,-13,2448
288,1.7432207485073794,-13,2325
290,1.7432207485073794,-13,1924
288,1.7432207485073794,-13,2418
287,1.7432207485073794,-13,2532
290,1.7432207485073794,-13,2292
287,1.7432207485073794,-13,1994
290,1.7432207485073794,-13,2647
292,1.7432207485073794,-13,2575
286,1.7432207485073794,-13,1988
292,1.7432207485073794,-13,2414
286,1.7432207485073794,-13,1022
296,1.7432207485073794,-13,2705
290,1.7432207485073794,-13,2640
283,1.7432207485073794,-13,2706
284,1.7432207485073794,-13,1761
284,1.7432207485073794,-13,8043
289,1.7432207485073794,-13,1571
291,1.7432207485073794,-13,1901
286,1.7432207485073794,-13,2346
284,1.7432207485073794,-13,2492
284,1.7432207485073794,-13,2069
294,1.7432207485073794,-13,1199
286,1.7432207485073794,-13,2536
287,1.7432207485073794,-13,1420
284,1.7432207485073794,-13,1760
289,1.7432207485073794,-13,1911
288,1.7432207485073794,-13,2322
292,1.7432207485073794,-13,1983
302,1.7432207485073794,-13,2436
282,1.7432207485073794,-13,920
286,1.7432207485073794,-13,1501
286,1.7432207485073794,-13,1906
286,1.7432207485073794,-13,2463
282,1.7432207485073794,-13,2645
287,1.7432207485073794,-13,8388
290,1.7432207485073794,-13,1925
