StaySwitch,center_year,log_rain_per_day,StaySwitch2,prev_fledge,penguinseq
FALSE,-12,2.772588722239781,TRUE,TRUE,2614
TRUE,-12,2.772588722239781,TRUE,TRUE,849
TRUE,-12,2.772588722239781,FALSE,TRUE,1379
TRUE,-12,2.772588722239781,TRUE,TRUE,1815
FALSE,-12,2.772588722239781,TRUE,FALSE,1015
TRUE,-12,2.772588722239781,FALSE,TRUE,1482
TRUE,-12,2.772588722239781,TRUE,TRUE,35977
FALSE,-12,2.772588722239781,FALSE,TRUE,2675
TRUE,-12,2.772588722239781,FALSE,TRUE,921
FALSE,-12,2.772588722239781,FALSE,TRUE,2638
TRUE,-12,2.772588722239781,TRUE,TRUE,2454
TRUE,-12,2.772588722239781,TRUE,TRUE,1022
TRUE,-12,2.772588722239781,FALSE,TRUE,1266
TRUE,-12,2.772588722239781,FALSE,FALSE,932
FALSE,-13,2.772588722239781,TRUE,FALSE,1830
TRUE,-12,2.772588722239781,TRUE,FALSE,1830
FALSE,-12,2.772588722239781,TRUE,TRUE,2456
TRUE,-12,2.772588722239781,TRUE,FALSE,2522
TRUE,-12,2.772588722239781,TRUE,FALSE,1493
FALSE,-12,2.772588722239781,TRUE,FALSE,855
TRUE,-12,2.772588722239781,TRUE,TRUE,2640
TRUE,-12,2.772588722239781,FALSE,FALSE,2016
FALSE,-12,2.772588722239781,FALSE,FALSE,1496
FALSE,-10,2.772588722239781,FALSE,FALSE,2684
TRUE,-12,2.772588722239781,FALSE,TRUE,2078
FALSE,-11,2.772588722239781,TRUE,TRUE,2457
TRUE,-12,2.772588722239781,TRUE,FALSE,1498
TRUE,-12,2.772588722239781,FALSE,TRUE,2524
TRUE,-11,2.772588722239781,TRUE,TRUE,863
TRUE,-12,2.772588722239781,FALSE,FALSE,1169
TRUE,-12,2.772588722239781,TRUE,FALSE,1499
FALSE,-8,2.772588722239781,TRUE,TRUE,2122
TRUE,-12,2.772588722239781,TRUE,TRUE,940
TRUE,-11,2.772588722239781,TRUE,TRUE,2525
TRUE,-12,2.772588722239781,FALSE,TRUE,864
FALSE,-12,2.772588722239781,TRUE,FALSE,2464
TRUE,-12,2.772588722239781,TRUE,TRUE,1501
TRUE,-12,2.772588722239781,TRUE,TRUE,2416
TRUE,-12,2.772588722239781,TRUE,TRUE,986
FALSE,-11,2.772588722239781,TRUE,FALSE,1899
TRUE,-12,2.772588722239781,TRUE,TRUE,1646
FALSE,-10,2.772588722239781,TRUE,FALSE,2128
TRUE,-12,2.772588722239781,FALSE,TRUE,1117
TRUE,-12,2.772588722239781,TRUE,FALSE,1234
TRUE,-12,2.772588722239781,FALSE,FALSE,943
TRUE,-12,2.772588722239781,TRUE,FALSE,868
TRUE,-12,2.772588722239781,TRUE,TRUE,2532
FALSE,-12,2.772588722239781,TRUE,FALSE,1503
TRUE,-12,2.772588722239781,TRUE,TRUE,1118
TRUE,-11,2.772588722239781,TRUE,FALSE,2465
TRUE,-12,2.772588722239781,TRUE,TRUE,1052
TRUE,-12,2.772588722239781,FALSE,FALSE,2699
FALSE,-12,2.772588722239781,FALSE,FALSE,1504
FALSE,-12,2.772588722239781,FALSE,FALSE,1901
TRUE,-12,2.772588722239781,TRUE,FALSE,1240
TRUE,-12,2.772588722239781,TRUE,TRUE,1054
TRUE,-12,2.772588722239781,FALSE,TRUE,1343
TRUE,-12,2.772588722239781,TRUE,TRUE,2474
FALSE,-11,2.772588722239781,TRUE,TRUE,990
TRUE,-12,2.772588722239781,FALSE,FALSE,950
TRUE,-12,2.772588722239781,TRUE,FALSE,872
TRUE,-12,2.772588722239781,TRUE,TRUE,1650
FALSE,-12,2.772588722239781,TRUE,FALSE,2436
FALSE,-12,2.772588722239781,FALSE,TRUE,1505
TRUE,-12,2.772588722239781,TRUE,TRUE,2477
TRUE,-12,2.772588722239781,TRUE,FALSE,2536
FALSE,-11,2.772588722239781,TRUE,TRUE,1904
TRUE,-12,2.772588722239781,FALSE,TRUE,1651
TRUE,-12,2.772588722239781,TRUE,FALSE,1355
TRUE,-12,2.772588722239781,FALSE,FALSE,882
FALSE,-12,2.772588722239781,TRUE,TRUE,2352
TRUE,-12,2.772588722239781,TRUE,FALSE,1905
TRUE,-12,2.772588722239781,TRUE,FALSE,2481
TRUE,-12,2.772588722239781,TRUE,TRUE,1058
FALSE,-10,2.772588722239781,TRUE,TRUE,1512
FALSE,-11,2.772588722239781,TRUE,FALSE,2657
FALSE,-12,2.772588722239781,TRUE,TRUE,1782
TRUE,-11,2.772588722239781,TRUE,TRUE,2661
FALSE,-11,2.772588722239781,FALSE,FALSE,1517
TRUE,-12,2.772588722239781,TRUE,TRUE,2537
TRUE,-12,2.772588722239781,TRUE,TRUE,2354
FALSE,-12,2.772588722239781,FALSE,TRUE,1253
FALSE,-12,2.772588722239781,TRUE,FALSE,897
TRUE,-12,2.772588722239781,TRUE,TRUE,1059
TRUE,-12,2.772588722239781,TRUE,TRUE,2662
TRUE,-12,2.772588722239781,TRUE,TRUE,900
TRUE,-12,2.772588722239781,TRUE,FALSE,2711
FALSE,-11,2.772588722239781,FALSE,FALSE,1907
FALSE,-12,2.772588722239781,TRUE,FALSE,1061
TRUE,-12,2.772588722239781,FALSE,TRUE,901
TRUE,-9,2.772588722239781,TRUE,FALSE,1997
TRUE,-12,2.772588722239781,FALSE,TRUE,2365
TRUE,-12,2.772588722239781,TRUE,TRUE,1203
TRUE,-12,2.772588722239781,TRUE,TRUE,1521
TRUE,-12,2.772588722239781,TRUE,TRUE,2494
TRUE,-12,2.772588722239781,TRUE,TRUE,1204
TRUE,-12,2.772588722239781,TRUE,TRUE,1910
TRUE,-11,2.772588722239781,TRUE,FALSE,2174
TRUE,-12,2.772588722239781,FALSE,FALSE,1226
FALSE,-11,2.772588722239781,FALSE,FALSE,1079
FALSE,-12,2.772588722239781,TRUE,TRUE,1571
FALSE,-9,2.772588722239781,FALSE,FALSE,1920
TRUE,-12,2.772588722239781,TRUE,TRUE,2518
TRUE,-12,2.772588722239781,FALSE,FALSE,973
TRUE,-12,2.772588722239781,TRUE,TRUE,2721
TRUE,-12,2.772588722239781,TRUE,TRUE,2519
TRUE,-12,2.772588722239781,FALSE,TRUE,1635
TRUE,-12,2.772588722239781,FALSE,FALSE,974
TRUE,-12,2.772588722239781,FALSE,TRUE,2682
FALSE,-12,2.772588722239781,FALSE,FALSE,1221
