MaxTripDistance,zscore_climate,center_year,sex,penguinseq
22.83,-1.4275689789000334,-11,M,10227
38.83,-0.034054877371814375,-11,M,10227
61.5,0.1381457626414862,-11,M,10227
90.22,-0.42774338748962926,-11,M,10227
55.81,-2.0510212096287344,-9,M,10227
52.16,-0.9754648186973253,-11,F,10710
66.65,0.48438845919786305,-11,F,10710
71.59,0.16531700867527213,-11,F,10710
78.43,0.1381457626414862,-11,F,10710
64.55,-0.5785313813925319,-11,F,10710
96.18,-0.49336237008748696,-11,F,10710
106.4,0.0033130140196292804,-7,M,11828
103.97,-0.3428361288278888,-7,M,11828
111.27,-0.40195302092734875,-7,M,11828
62.98,-1.4472483147645974,-7,M,11828
80.92,-0.8259171311416116,-7,M,11828
96.68,-1.0967891480392589,8,M,123729
83.55,-0.6828275181160312,8,M,123729
97.31,-0.2997635400415789,8,M,123729
104.24,-0.21900052662907102,8,M,123729
65.82,0.7644723780700179,8,M,123729
70.58,0.9856246412090327,8,M,123729
81.56,1.8059776108322878,8,M,123729
65.01,1.430684585733393,9,M,128741
97.82,1.2651735690924726,9,M,128741
61.12,0.6095976146684909,9,M,128741
99.37,0.5147921412380811,9,M,128741
104.98,1.272315670083089,9,M,128741
90.99,1.0882179653585335,9,M,128741
87.85,1.4090422923163581,9,M,128741
94.28,-0.2997635400415789,8,M,133732
106.95,-0.05003349641467496,8,M,133732
45.27,0.47788886056297536,8,M,133732
76.94,0.22592121843985546,8,M,133732
59.36,0.20741551878935044,8,M,133732
77.67,0.17149477717683065,8,M,133732
95.78,0.757799987699384,8,M,133732
74.82,1.2922787155809492,8,M,133732
114.19,1.3799769841784617,8,M,133732
69.84,-1.269529857781898,8,M,133733
70.83,-0.17983475992611714,8,M,133733
105.05,-0.2997635400415789,8,M,133733
99.61,-0.05003349641467496,8,M,133733
64.82,0.47788886056297536,8,M,133733
56.25,0.33322580490572,8,M,133733
74.1,0.6728520458535857,8,M,133733
81.36,0.17149477717683065,8,M,133733
55.22,0.757799987699384,8,M,133733
38.94,1.2819004284269246,8,M,133733
56.02,1.8059776108322878,8,M,133733
113.79,1.358337581835581,8,M,133733
68.77,1.988963200146166,8,M,133733
68.62,1.3789418004807428,8,M,133733
68.04,-0.9178719373433007,8,M,133734
77.48,-1.269529857781898,8,M,133734
70.34,-0.17983475992611714,8,M,133734
78.99,-0.2997635400415789,8,M,133734
59.17,-0.05003349641467496,8,M,133734
63.69,0.47788886056297536,8,M,133734
63.85,0.22592121843985546,8,M,133734
59.68,0.20741551878935044,8,M,133734
53.94,0.18330737351177323,8,M,133734
71.22,0.17149477717683065,8,M,133734
67.7,0.9856246412090327,8,M,133734
64.93,1.2922787155809492,8,M,133734
93.74,-1.2323287476264206,8,M,133739
80.19,-1.269529857781898,8,M,133739
98.41,-0.17983475992611714,8,M,133739
111.9,-0.25284287298031205,8,M,133739
89.73,0.2578165234942617,8,M,133739
67.65,0.8057755598420165,8,M,133739
108.92,-1.2992809011453361,8,M,133757
98.5,-1.2323287476264206,8,M,133757
124.08,-0.5804323070748283,8,M,133757
